SNP	H
488426	0
768865	0.8969466
1149280	1.8455091
1411467	2.0799101
1699236	3.208725
1865285	3.511375
2192374	4.0249607
3779036	7.5197704
3917089	8.213076
4359800	9.6380295
4519429	10.6458541
5506917	13.1925244
5734744	13.779733
6001538	14.6179235
6989379	17.5337698
7644962	20.3123287
7873293	21.4900449
8350582	24.573582
8439006	24.8314999
9001217	26.5880683
9205325	26.8286606
10434922	30.8509872
10653718	32.5598122
10903254	33.7439919
11838780	37.344485
12179065	38.7042801
12686038	41.1933679
13207971	44.4068775
13859051	45.3478019
14158183	45.347802
14161442	45.3478021
15630635	45.3478022
15985718	45.8172249
16279095	46.5220321
17102334	50.1755422
17605952	53.2950244
17720368	53.5326108
18028852	54.7272468
18300423	56.2138134
18800489	57.2020066
19492844	59.2732401
20260660	61.348413
20686611	62.9788161
21059175	63.7029833
21167712	63.8200723
21559246	64.8087354
22200580	65.1780543
22743028	66.2912044
22975205	67.1143581
23130317	67.2606665
23381914	67.7008458
23906908	69.1162914
24810967	71.9697086
25143391	73.7423752
25304145	74.1081358
26099650	76.7478914
26357422	78.0290272
27230162	82.3114818
27855083	83.8576424
28132789	84.568806
29058956	88.345178
29595658	90.0123202
30269940	91.5166828
30393984	91.6361413
