SNP	K	H	CF
290174	0	0	0
400931	0.3543264	0.3555819	0.3543205
1315978	3.8409473	3.9636696	3.8353173
1813427	5.0262892	5.1630605	5.0204373
2069771	5.6223024	5.7626259	5.6164222
2541354	6.3380102	6.483456	6.3320812
3427299	8.5040219	8.6963691	8.4967405
3610073	8.8828527	9.076635	8.8755641
4330513	11.0696069	11.3111929	11.0609266
4900563	12.8650504	13.1388657	12.8555995
5334452	14.1869396	14.4782267	14.1771808
5891629	15.1108316	15.410654	15.1009677
6008178	15.4560878	15.7571022	15.4462185
7123630	18.4940241	18.8872723	18.4804302
7359421	18.9630875	19.3585359	18.9494798
8456601	24.5207367	25.2244258	24.4845196
8633204	24.8723043	25.5772295	24.8360815
9136628	27.9813341	28.7828577	27.9411197
10358588	34.8087542	36.0749731	34.7268808
10847881	38.2438996	39.6280279	38.1566468
11107344	40.12699	41.5465703	40.0388481
11748521	44.3200452	45.9152369	44.2221424
12276692	45.0282508	46.6284579	44.9303007
13495418	45.2583764	46.8591131	45.1604247
14104253	45.2583765	46.8591132	45.1604248
14244642	45.5642714	47.1659437	45.4663158
15712057	47.551611	49.1927682	47.4526105
15913994	48.1668923	49.8118351	48.0678608
16629399	53.2205661	55.1204714	53.1044992
17211862	54.4300832	56.3446164	54.3137804
17878794	57.6530036	59.6713371	57.5322558
18258898	58.4843004	60.5095441	58.3634759
18532958	58.986077	61.0138385	58.8652357
18772306	59.8967107	61.9327642	59.7757687
19221428	62.0573518	64.1400745	61.9350674
19458259	62.7710798	64.8588965	62.648747
19990665	65.4559008	67.6157654	65.330995
20809850	66.7291205	68.9051942	66.6039396
20997826	67.0745404	69.2518074	66.9493541
21142865	67.2310557	69.4085676	67.1058689
21899579	68.6702309	70.8684522	68.544647
22221736	69.1888675	71.3897786	69.063265
22446488	70.0316892	72.2397034	69.9060068
22806789	71.654914	73.8892722	71.528662
23088778	72.8142349	75.0620322	72.6877753
23211977	73.1603911	75.4093866	73.0339259
