Chromosome Position(bp) Rate(cM/Mb) Map(cM)
chr5 50000 8.695716 0
chr5 1e+05 8.615973 0
chr5 150000 8.525505 0
chr5 2e+05 8.424005 0
chr5 250000 8.31116 0
chr5 3e+05 8.18536 0
chr5 350000 8.04258 0
chr5 4e+05 7.88699 0
chr5 450000 7.723645 0
chr5 5e+05 7.557605 0
chr5 550000 7.37882 0
chr5 6e+05 7.169469 0
chr5 650000 6.941932 0
chr5 7e+05 6.709186 0
chr5 750000 6.484207 0
chr5 8e+05 6.272311 0
chr5 850000 6.026957 0
chr5 9e+05 5.750404 0
chr5 950000 5.457927 0
chr5 1e+06 5.164801 0
chr5 1050000 4.8863 0
chr5 1100000 4.637699 0
chr5 1150000 4.434274 0
chr5 1200000 4.281817 0
chr5 1250000 4.155621 0
chr5 1300000 4.049336 0
chr5 1350000 3.958637 0
chr5 1400000 3.882509 0
chr5 1450000 3.85742 0
chr5 1500000 3.864498 0
chr5 1550000 3.864968 0
chr5 1600000 3.820056 0
chr5 1650000 3.750905 0
chr5 1700000 3.711068 0
chr5 1750000 3.684954 0
chr5 1800000 3.656656 0
chr5 1850000 3.610271 0
chr5 1900000 3.529891 0
chr5 1950000 3.402799 0
chr5 2e+06 3.238805 0
chr5 2050000 3.055018 0
chr5 2100000 2.868324 0
chr5 2150000 2.695609 0
chr5 2200000 2.55376 0
chr5 2250000 2.435402 0
chr5 2300000 2.307878 0
chr5 2350000 2.249308 0
chr5 2400000 2.211223 0
chr5 2450000 2.193178 0
chr5 2500000 2.194726 0
chr5 2550000 2.215422 0
chr5 2600000 2.25482 0
chr5 2650000 2.312473 0
chr5 2700000 2.387936 0
chr5 2750000 2.48544 0
chr5 2800000 2.665129 0
chr5 2850000 2.870754 0
chr5 2900000 3.004856 0
chr5 2950000 3.06343 0
chr5 3e+06 3.130358 0
chr5 3050000 3.196431 0
chr5 3100000 3.251789 0
chr5 3150000 3.286573 0
chr5 3200000 3.294883 0
chr5 3250000 3.283691 0
chr5 3300000 3.257115 0
chr5 3350000 3.21895 0
chr5 3400000 3.172992 0
chr5 3450000 3.123035 0
chr5 3500000 3.072876 0
chr5 3550000 3.02631 0
chr5 3600000 2.987131 0
chr5 3650000 2.940641 0
chr5 3700000 2.832301 0
chr5 3750000 2.691937 0
chr5 3800000 2.55778 0
chr5 3850000 2.468057 0
chr5 3900000 2.427965 0
chr5 3950000 2.393547 0
chr5 4e+06 2.363854 0
chr5 4050000 2.33909 0
chr5 4100000 2.319459 0
chr5 4150000 2.305165 0
chr5 4200000 2.296414 0
chr5 4250000 2.294298 0
chr5 4300000 2.30829 0
chr5 4350000 2.333692 0
chr5 4400000 2.361308 0
chr5 4450000 2.38196 0
chr5 4500000 2.40407 0
chr5 4550000 2.438289 0
chr5 4600000 2.482181 0
chr5 4650000 2.533308 0
chr5 4700000 2.589236 0
chr5 4750000 2.647528 0
chr5 4800000 2.705747 0
chr5 4850000 2.761459 0
chr5 4900000 2.812226 0
chr5 4950000 2.855613 0
chr5 5e+06 2.889184 0
chr5 5050000 2.909539 0
chr5 5100000 2.916712 0
chr5 5150000 2.916637 0
chr5 5200000 2.915377 0
chr5 5250000 2.918999 0
chr5 5300000 2.933566 0
chr5 5350000 2.964743 0
chr5 5400000 3.007138 0
chr5 5450000 3.05423 0
chr5 5500000 3.102217 0
chr5 5550000 3.149117 0
chr5 5600000 3.219815 0
chr5 5650000 3.310201 0
chr5 5700000 3.403087 0
chr5 5750000 3.481289 0
chr5 5800000 3.527619 0
chr5 5850000 3.532127 0
chr5 5900000 3.508682 0
chr5 5950000 3.475837 0
chr5 6e+06 3.452144 0
chr5 6050000 3.456157 0
chr5 6100000 3.48423 0
chr5 6150000 3.511548 0
chr5 6200000 3.539963 0
chr5 6250000 3.571636 0
chr5 6300000 3.60873 0
chr5 6350000 3.653408 0
chr5 6400000 3.707832 0
chr5 6450000 3.774165 0
chr5 6500000 3.854569 0
chr5 6550000 3.9567 0
chr5 6600000 4.094343 0
chr5 6650000 4.25005 0
chr5 6700000 4.403691 0
chr5 6750000 4.535137 0
chr5 6800000 4.624257 0
chr5 6850000 4.698337 0
chr5 6900000 4.792805 0
chr5 6950000 4.892393 0
chr5 7e+06 4.981802 0
chr5 7050000 5.045754 0
chr5 7100000 5.081563 0
chr5 7150000 5.099542 0
chr5 7200000 5.106314 0
chr5 7250000 5.108502 0
chr5 7300000 5.112728 0
chr5 7350000 5.125252 0
chr5 7400000 5.137048 0
chr5 7450000 5.142631 0
chr5 7500000 5.143425 0
chr5 7550000 5.140855 0
chr5 7600000 5.136347 0
chr5 7650000 5.131323 0
chr5 7700000 5.12721 0
chr5 7750000 5.125432 0
chr5 7800000 5.127413 0
chr5 7850000 5.134579 0
chr5 7900000 5.148355 0
chr5 7950000 5.170163 0
chr5 8e+06 5.201431 0
chr5 8050000 5.243894 0
chr5 8100000 5.298338 0
chr5 8150000 5.360316 0
chr5 8200000 5.424841 0
chr5 8250000 5.486923 0
chr5 8300000 5.541572 0
chr5 8350000 5.583801 0
chr5 8400000 5.608619 0
chr5 8450000 5.613517 0
chr5 8500000 5.613288 0
chr5 8550000 5.611105 0
chr5 8600000 5.606744 0
chr5 8650000 5.599984 0
chr5 8700000 5.590604 0
chr5 8750000 5.578382 0
chr5 8800000 5.563095 0
chr5 8850000 5.544522 0
chr5 8900000 5.522441 0
chr5 8950000 5.496631 0
chr5 9e+06 5.46687 0
chr5 9050000 5.432935 0
chr5 9100000 5.394606 0
chr5 9150000 5.35166 0
chr5 9200000 5.303875 0
chr5 9250000 5.25103 0
chr5 9300000 5.192903 0
chr5 9350000 5.129272 0
chr5 9400000 5.059915 0
chr5 9450000 4.984611 0
chr5 9500000 4.903138 0
chr5 9550000 4.815288 0
chr5 9600000 4.725607 0
chr5 9650000 4.636533 0
chr5 9700000 4.546144 0
chr5 9750000 4.452519 0
chr5 9800000 4.353739 0
chr5 9850000 4.247882 0
chr5 9900000 4.131815 0
chr5 9950000 3.992957 0
chr5 1e+07 3.832057 0
chr5 10050000 3.653668 0
chr5 10100000 3.46234 0
chr5 10150000 3.262627 0
chr5 10200000 3.05908 0
chr5 10250000 2.856251 0
chr5 10300000 2.658693 0
chr5 10350000 2.470956 0
chr5 10400000 2.297594 0
chr5 10450000 2.143158 0
chr5 10500000 2.010865 0
chr5 10550000 1.870384 0
chr5 10600000 1.714756 0
chr5 10650000 1.553793 0
chr5 10700000 1.397305 0
chr5 10750000 1.255102 0
chr5 10800000 1.127976 0
chr5 10850000 0.939596 0
chr5 10900000 0.739792 0
chr5 10950000 0.609575 0
chr5 1.1e+07 0.515827 0
chr5 11050000 0.433538 0
chr5 11100000 0.361698 0
chr5 11150000 0.299297 0
chr5 11200000 0.245327 0
chr5 11250000 0.198778 0
chr5 11300000 0.15864 0
chr5 11350000 0.123905 0
chr5 11400000 0.093563 0
chr5 11450000 0.066605 0
chr5 11500000 0.042021 0
chr5 11550000 0.018802 0
chr5 11600000 -0.004061 0
chr5 11650000 -0.027514 0
chr5 11700000 -0.050272 0
chr5 11750000 -0.07098 0
chr5 11800000 -0.088989 0
chr5 11850000 -0.103653 0
chr5 11900000 -0.114323 0
chr5 11950000 -0.120355 0
chr5 1.2e+07 -0.121099 0
chr5 12050000 -0.115908 0
chr5 12100000 -0.104137 0
chr5 12150000 -0.085137 0
chr5 12200000 -0.058261 0
chr5 12250000 -0.029405 0
chr5 12300000 -0.011253 0
chr5 12350000 0.001571 0
chr5 12400000 0.015254 0
chr5 12450000 0.035982 0
chr5 12500000 0.069942 0
chr5 12550000 0.12332 0
chr5 12600000 0.201308 0
chr5 12650000 0.299354 0
chr5 12700000 0.413717 0
chr5 12750000 0.541827 0
chr5 12800000 0.681115 0
chr5 12850000 0.829011 0
chr5 12900000 0.982947 0
chr5 12950000 1.140353 0
chr5 1.3e+07 1.29866 0
chr5 13050000 1.455299 0
chr5 13100000 1.607775 0
chr5 13150000 1.769498 0
chr5 13200000 1.936353 0
chr5 13250000 2.114045 0
chr5 13300000 2.34225 0
chr5 13350000 2.594727 0
chr5 13400000 2.842481 0
chr5 13450000 3.056711 0
chr5 13500000 3.246195 0
chr5 13550000 3.426139 0
chr5 13600000 3.590591 0
chr5 13650000 3.733599 0
chr5 13700000 3.849212 0
chr5 13750000 3.931477 0
chr5 13800000 3.973897 0
chr5 13850000 3.979136 0
chr5 13900000 3.934201 0
chr5 13950000 3.824496 0
chr5 1.4e+07 3.680615 0
chr5 14050000 3.533154 0
chr5 14100000 3.412706 0
chr5 14150000 3.348046 0
chr5 14200000 3.308615 0
chr5 14250000 3.280162 0
chr5 14300000 3.272863 0
chr5 14350000 3.297893 0
chr5 14400000 3.354642 0
chr5 14450000 3.433945 0
chr5 14500000 3.526619 0
chr5 14550000 3.623481 0
chr5 14600000 3.719044 0
chr5 14650000 3.830356 0
chr5 14700000 3.953134 0
chr5 14750000 4.07792 0
chr5 14800000 4.195255 0
chr5 14850000 4.295682 0
chr5 14900000 4.369897 0
chr5 14950000 4.427476 0
chr5 1.5e+07 4.47844 0
chr5 15050000 4.522349 0
chr5 15100000 4.558767 0
chr5 15150000 4.587254 0
chr5 15200000 4.607374 0
chr5 15250000 4.618689 0
chr5 15300000 4.618863 0
chr5 15350000 4.591501 0
chr5 15400000 4.550623 0
chr5 15450000 4.518565 0
chr5 15500000 4.507399 0
chr5 15550000 4.496179 0
chr5 15600000 4.483232 0
chr5 15650000 4.469005 0
chr5 15700000 4.453945 0
chr5 15750000 4.438497 0
chr5 15800000 4.42311 0
chr5 15850000 4.408229 0
chr5 15900000 4.394302 0
chr5 15950000 4.381775 0
chr5 1.6e+07 4.371094 0
chr5 16050000 4.362708 0
chr5 16100000 4.356986 0
chr5 16150000 4.348452 0
chr5 16200000 4.333912 0
chr5 16250000 4.313942 0
chr5 16300000 4.289119 0
chr5 16350000 4.260019 0
chr5 16400000 4.227217 0
chr5 16450000 4.191289 0
chr5 16500000 4.152811 0
chr5 16550000 4.112359 0
chr5 16600000 4.068053 0
chr5 16650000 3.993364 0
chr5 16700000 3.898243 0
chr5 16750000 3.804861 0
chr5 16800000 3.735391 0
chr5 16850000 3.683948 0
chr5 16900000 3.583497 0
chr5 16950000 3.453357 0
chr5 1.7e+07 3.319936 0
chr5 17050000 3.209643 0
chr5 17100000 3.148888 0
chr5 17150000 3.158996 0
chr5 17200000 3.231754 0
chr5 17250000 3.352587 0
chr5 17300000 3.507304 0
chr5 17350000 3.681714 0
chr5 17400000 3.861627 0
chr5 17450000 4.032852 0
chr5 17500000 4.181198 0
chr5 17550000 4.292474 0
chr5 17600000 4.353239 0
chr5 17650000 4.385049 0
chr5 17700000 4.404799 0
chr5 17750000 4.414118 0
chr5 17800000 4.414632 0
chr5 17850000 4.407972 0
chr5 17900000 4.395766 0
chr5 17950000 4.379642 0
chr5 1.8e+07 4.352233 0
chr5 18050000 4.306982 0
chr5 18100000 4.261822 0
chr5 18150000 4.20895 0
chr5 18200000 4.142103 0
chr5 18250000 4.063696 0
chr5 18300000 3.976149 0
chr5 18350000 3.88188 0
chr5 18400000 3.783306 0
chr5 18450000 3.682845 0
chr5 18500000 3.582916 0
chr5 18550000 3.485936 0
chr5 18600000 3.394323 0
chr5 18650000 3.311799 0
chr5 18700000 3.247846 0
chr5 18750000 3.158055 0
chr5 18800000 3.050908 0
chr5 18850000 2.931135 0
chr5 18900000 2.803008 0
chr5 18950000 2.670801 0
chr5 1.9e+07 2.538785 0
chr5 19050000 2.411232 0
chr5 19100000 2.292415 0
chr5 19150000 2.186605 0
chr5 19200000 2.098076 0
chr5 19250000 2.031099 0
chr5 19300000 1.989947 0
chr5 19350000 1.978298 0
chr5 19400000 1.993782 0
chr5 19450000 2.030952 0
chr5 19500000 2.084378 0
chr5 19550000 2.148635 0
chr5 19600000 2.218296 0
chr5 19650000 2.287932 0
chr5 19700000 2.35259 0
chr5 19750000 2.428109 0
chr5 19800000 2.490669 0
chr5 19850000 2.553412 0
chr5 19900000 2.61683 0
chr5 19950000 2.681415 0
chr5 2e+07 2.747659 0
chr5 20050000 2.816054 0
chr5 20100000 2.887094 0
chr5 20150000 2.961601 0
chr5 20200000 3.03886 0
chr5 20250000 3.11725 0
chr5 20300000 3.195152 0
chr5 20350000 3.272955 0
chr5 20400000 3.352019 0
chr5 20450000 3.432103 0
chr5 20500000 3.512968 0
chr5 20550000 3.594371 0
chr5 20600000 3.676074 0
chr5 20650000 3.757835 0
chr5 20700000 3.839414 0
chr5 20750000 3.92057 0
chr5 20800000 4.001319 0
chr5 20850000 4.087499 0
chr5 20900000 4.179846 0
chr5 20950000 4.275972 0
chr5 2.1e+07 4.37349 0
chr5 21050000 4.470012 0
chr5 21100000 4.56315 0
chr5 21150000 4.650517 0
chr5 21200000 4.729725 0
chr5 21250000 4.798386 0
chr5 21300000 4.854208 0
chr5 21350000 4.904207 0
chr5 21400000 4.952603 0
chr5 21450000 4.997528 0
chr5 21500000 5.037117 0
chr5 21550000 5.069502 0
chr5 21600000 5.092816 0
chr5 21650000 5.105192 0
chr5 21700000 5.104764 0
chr5 21750000 5.089665 0
chr5 21800000 5.075426 0
chr5 21850000 5.071211 0
chr5 21900000 5.041985 0
chr5 21950000 4.972947 0
chr5 2.2e+07 4.882251 0
chr5 22050000 4.780667 0
chr5 22100000 4.678944 0
chr5 22150000 4.587834 0
chr5 22200000 4.518086 0
chr5 22250000 4.412817 0
chr5 22300000 4.333601 0
chr5 22350000 4.289741 0
chr5 22400000 4.255484 0
chr5 22450000 4.229286 0
chr5 22500000 4.209607 0
chr5 22550000 4.194902 0
chr5 22600000 4.183629 0
chr5 22650000 4.174247 0
chr5 22700000 4.165212 0
chr5 22750000 4.154981 0
chr5 22800000 4.142013 0
chr5 22850000 4.124765 0
chr5 22900000 4.101694 0
chr5 22950000 4.071258 0
chr5 2.3e+07 4.031914 0
chr5 23050000 3.98212 0
chr5 23100000 3.910131 0
chr5 23150000 3.810739 0
chr5 23200000 3.707985 0
chr5 23250000 3.626392 0
chr5 23300000 3.570799 0
chr5 23350000 3.472427 0
chr5 23400000 3.356875 0
chr5 23450000 3.264055 0
chr5 23500000 3.214188 0
chr5 23550000 3.19584 0
chr5 23600000 3.198622 0
chr5 23650000 3.212145 0
chr5 23700000 3.226018 0
chr5 23750000 3.229853 0
chr5 23800000 3.213364 0
chr5 23850000 3.193193 0
chr5 23900000 3.183971 0
chr5 23950000 3.181166 0
chr5 2.4e+07 3.180244 0
chr5 24050000 3.176673 0
chr5 24100000 3.169244 0
chr5 24150000 3.168213 0
chr5 24200000 3.17286 0
chr5 24250000 3.181025 0
chr5 24300000 3.190546 0
chr5 24350000 3.199265 0
chr5 24400000 3.20502 0
chr5 24450000 3.205652 0
chr5 24500000 3.199 0
chr5 24550000 3.182722 0
chr5 24600000 3.155865 0
chr5 24650000 3.12506 0
chr5 24700000 3.098106 0
chr5 24750000 3.082803 0
chr5 24800000 3.084219 0
chr5 24850000 3.100705 0
chr5 24900000 3.131591 0
chr5 24950000 3.176253 0
chr5 2.5e+07 3.234069 0
chr5 25050000 3.304415 0
chr5 25100000 3.386667 0
chr5 25150000 3.480202 0
chr5 25200000 3.584396 0
chr5 25250000 3.698627 0
chr5 25300000 3.82227 0
chr5 25350000 3.954702 0
chr5 25400000 4.0953 0
chr5 25450000 4.243439 0
chr5 25500000 4.398498 0
chr5 25550000 4.559852 0
chr5 25600000 4.726878 0
chr5 25650000 4.95558 0
chr5 25700000 5.175732 0
chr5 25750000 5.359505 0
chr5 25800000 5.530428 0
chr5 25850000 5.653013 0
chr5 25900000 5.691775 0
chr5 25950000 5.678021 0
chr5 2.6e+07 5.643947 0
chr5 26050000 5.558848 0
chr5 26100000 5.428684 0
chr5 26150000 5.263762 0
chr5 26200000 5.062831 0
chr5 26250000 4.824641 0
chr5 26300000 4.547942 0
chr5 26350000 4.231485 0
chr5 26400000 3.874019 0
chr5 26450000 3.474295 0
chr5 26500000 3.031062 0
chr5 26550000 2.54307 0
chr5 26600000 2.00907 0
chr5 26650000 1.427812 0
chr5 26700000 0.798046 0
chr5 26750000 0 0
